agricultureStructureIndicator,asOfDate,baseFloodElevation,basementEnclosureCrawlspace,reportedCity,condominiumIndicator,policyCount,countyCode,communityRatingSystemDiscount,dateOfLoss,elevatedBuildingIndicator,elevationCertificateIndicator,elevationDifference,censusTract,floodZone,houseWorship,latitude,longitude,locationOfContents,lowestAdjacentGrade,lowestFloorElevation,numberOfFloorsInTheInsuredBuilding,nonProfitIndicator,obstructionType,occupancyType,originalConstructionDate,originalNBDate,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,postFIRMConstructionIndicator,rateMethod,smallBusinessIndicatorBuilding,state,totalBuildingInsuranceCoverage,totalContentsInsuranceCoverage,yearOfLoss,reportedZipcode,primaryResidence,id
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51003,NA,2015-09-22T04:00:00Z,0,NA,NA,51003011000,X,0,38,-78.6,0,NA,0,2,0,NA,1,1981-01-01T05:00:00Z,2014-10-19T04:00:00Z,NA,NA,NA,1,7,0,VA,30000,12000,2015,22903,1,613f4837f2b55a0837e4d2fe
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51540,NA,2018-05-30T04:00:00Z,1,NA,NA,51540000502,AE,0,38,-78.5,0,390.8,0,2,0,54,1,1968-01-01T05:00:00Z,2014-11-05T05:00:00Z,6124.17,NA,NA,0,1,0,VA,230000,0,2018,22903,1,613f4837f2b55a0837e4d5fe
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51540,NA,2018-07-31T04:00:00Z,1,NA,NA,51540000502,AE,0,38,-78.5,0,390.8,0,2,0,54,1,1968-01-01T05:00:00Z,2014-11-05T05:00:00Z,22192.41,NA,NA,0,1,0,VA,230000,0,2018,22903,1,613f4837f2b55a0837e4d5ff
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51125,NA,1996-09-06T04:00:00Z,0,NA,NA,51125950100,AE,0,37.8,-78.7,0,NA,0,2,0,10,1,1972-07-01T04:00:00Z,1988-10-17T04:00:00Z,NA,2976.23,NA,0,1,0,VA,55100,16000,1996,22971,1,613f4838f2b55a0837e4fb0d
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51003,NA,1987-09-08T04:00:00Z,0,NA,NA,51003011400,A12,0,37.8,-78.5,4,NA,0,1,0,10,4,1992-10-12T04:00:00Z,1987-02-12T05:00:00Z,6123.62,NA,NA,0,1,0,VA,22000,3200,1987,24590,0,613f4838f2b55a0837e4ffa8
0,2021-09-08T00:26:59Z,NA,1,Temporarily Unavailable,N,1,51003,NA,2018-10-28T04:00:00Z,0,NA,NA,51003010500,X,0,38,-78.4,0,NA,0,3,0,NA,1,2017-01-01T05:00:00Z,2017-09-12T04:00:00Z,67.15,NA,NA,1,7,0,VA,250000,100000,2018,22911,1,613f4839f2b55a0837e51937
0,2021-07-25T01:39:04Z,NA,2,Temporarily Unavailable,N,1,51540,NA,2018-08-01T04:00:00Z,0,NA,NA,51540000201,X,0,38,-78.5,0,NA,0,2,0,NA,1,1959-01-01T05:00:00Z,2018-06-30T04:00:00Z,481.21,NA,NA,0,7,0,VA,150000,60000,2018,22903,1,613f4839f2b55a0837e51996
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51125,NA,2010-01-24T05:00:00Z,0,NA,NA,51125950200,X,0,37.9,-78.9,0,NA,0,2,0,NA,1,2003-01-01T05:00:00Z,2005-01-14T05:00:00Z,NA,NA,NA,1,7,0,VA,250000,100000,2010,22958,1,613f483cf2b55a0837e5431e
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51125,NA,2011-04-16T04:00:00Z,0,NA,NA,51125950200,X,0,37.9,-78.9,0,NA,0,2,0,NA,1,2003-01-01T05:00:00Z,2005-01-14T05:00:00Z,3170.22,NA,NA,1,7,0,VA,250000,100000,2011,22958,1,613f483cf2b55a0837e54320
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51079,NA,1995-06-27T04:00:00Z,0,NA,NA,51079030102,X,0,38.3,-78.4,0,NA,0,3,0,NA,1,1984-01-01T05:00:00Z,1990-09-09T04:00:00Z,NA,NA,NA,0,7,0,VA,20000,5000,1995,22973,1,613f4847f2b55a0837e5d844
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51540,NA,2018-06-01T04:00:00Z,0,NA,NA,51540000502,AE,0,38,-78.5,0,NA,0,2,0,NA,1,1968-01-01T05:00:00Z,2014-07-30T04:00:00Z,1988.61,NA,NA,0,1,0,VA,199700,0,2018,22903,0,613f484ef2b55a0837e66cdd
0,2021-07-25T01:39:04Z,496,4,Temporarily Unavailable,N,1,51003,NA,2018-05-30T04:00:00Z,0,3,-9,51003011000,AE,0,38.1,-78.6,0,488.9,487.1,3,0,NA,1,1980-01-01T05:00:00Z,2000-01-01T05:00:00Z,43081.78,NA,NA,0,1,0,VA,250000,0,2018,22903,1,613f4857f2b55a0837e74e08
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51079,NA,1996-09-05T04:00:00Z,0,NA,NA,51079030102,X,0,38.3,-78.4,0,NA,0,3,0,NA,1,1984-01-01T05:00:00Z,1990-09-09T04:00:00Z,NA,NA,NA,0,7,0,VA,20000,5000,1996,22973,1,613f4858f2b55a0837e75399
