agricultureStructureIndicator,asOfDate,baseFloodElevation,basementEnclosureCrawlspace,reportedCity,condominiumIndicator,policyCount,countyCode,communityRatingSystemDiscount,dateOfLoss,elevatedBuildingIndicator,elevationCertificateIndicator,elevationDifference,censusTract,floodZone,houseWorship,latitude,longitude,locationOfContents,lowestAdjacentGrade,lowestFloorElevation,numberOfFloorsInTheInsuredBuilding,nonProfitIndicator,obstructionType,occupancyType,originalConstructionDate,originalNBDate,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,postFIRMConstructionIndicator,rateMethod,smallBusinessIndicatorBuilding,state,totalBuildingInsuranceCoverage,totalContentsInsuranceCoverage,yearOfLoss,reportedZipcode,primaryResidence,id
0,2021-07-25T01:39:04Z,8,NA,Temporarily Unavailable,N,1,51001,6,1999-09-16T04:00:00Z,0,3,1,51001090300,AE,0,37.9,-75.6,0,NA,9.1,1,0,10,1,1987-08-01T04:00:00Z,1992-09-13T04:00:00Z,4441.66,NA,NA,1,1,0,VA,96800,0,1999,23359,0,613f48b8f2b55a0837ed6123
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,6,1998-02-04T05:00:00Z,0,NA,NA,51001090600,AE,0,37.7,-75.8,0,NA,0,3,0,10,1,1967-07-01T04:00:00Z,1993-01-05T05:00:00Z,8283.79,3127.75,NA,0,1,0,VA,20000,12800,1998,23417,0,613f48b8f2b55a0837ed61fa
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,6,1999-09-16T04:00:00Z,0,NA,NA,51001090600,AE,0,37.8,-75.8,0,NA,0,2,0,10,1,2035-07-01T04:00:00Z,1993-01-05T05:00:00Z,2737.6,NA,NA,0,1,0,VA,42000,10000,1999,23417,1,613f48b8f2b55a0837ed61fb
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,6,1999-09-16T04:00:00Z,0,NA,NA,51001090600,AE,0,37.8,-75.8,0,NA,0,2,0,10,1,2020-07-01T04:00:00Z,1993-03-29T05:00:00Z,11246.11,NA,NA,0,1,0,VA,36000,0,1999,23417,0,613f48b8f2b55a0837ed61fc
0,2021-07-25T01:39:04Z,8,NA,Temporarily Unavailable,N,1,51001,6,1999-09-16T04:00:00Z,1,3,1,51001090500,AE,0,37.8,-75.7,0,NA,8.8,2,0,10,1,1989-07-01T04:00:00Z,1993-04-27T04:00:00Z,1619.9,NA,NA,1,1,0,VA,107400,50000,1999,23421,1,613f48b8f2b55a0837ed61fd
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,6,1999-09-16T04:00:00Z,0,NA,NA,51001090600,AE,0,37.7,-75.7,0,NA,0,2,0,10,1,2045-07-01T04:00:00Z,1993-05-11T04:00:00Z,16342.45,6222.28,NA,0,1,0,VA,50000,11600,1999,23417,0,613f48b8f2b55a0837ed61fe
0,2021-07-25T01:39:04Z,7,NA,Temporarily Unavailable,N,1,51001,6,1999-09-16T04:00:00Z,0,3,2,51001090600,AE,0,37.8,-75.8,0,NA,8.6,2,0,10,1,1991-07-01T04:00:00Z,1993-06-27T04:00:00Z,1388.76,NA,NA,1,1,0,VA,76100,0,1999,23417,1,613f48b8f2b55a0837ed61ff
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,6,1999-09-16T04:00:00Z,0,NA,NA,51001090600,VE,0,37.8,-75.8,0,NA,0,2,0,10,1,1971-07-01T04:00:00Z,1993-07-21T04:00:00Z,10277.78,2000,NA,0,1,0,VA,60000,2000,1999,23417,0,613f48b8f2b55a0837ed6242
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,6,1999-09-16T04:00:00Z,0,NA,NA,51001090600,AE,0,37.7,-75.7,0,NA,0,2,0,10,1,1977-07-01T04:00:00Z,1993-08-11T04:00:00Z,NA,NA,NA,0,1,0,VA,109600,0,1999,23417,0,613f48b8f2b55a0837ed6243
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,NA,1999-09-16T04:00:00Z,0,NA,NA,NA,AE,0,37.8,-76,0,NA,0,2,0,10,1,2035-07-01T04:00:00Z,1992-11-14T05:00:00Z,10728.36,1983.84,NA,0,1,0,VA,20000,8000,1999,23440,0,613f48b8f2b55a0837ed6428
0,2021-07-25T01:39:04Z,7,NA,Temporarily Unavailable,N,1,51001,6,2003-09-18T04:00:00Z,1,NA,2,51001090600,A06,0,37.8,-75.8,4,3.7,8.9,2,0,15,1,2020-02-02T05:00:00Z,1999-05-26T04:00:00Z,NA,NA,NA,0,1,0,VA,60000,0,2003,23417,1,613f48b9f2b55a0837ed6d4b
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,6,2009-11-13T05:00:00Z,1,NA,NA,51001090100,A09,0,37.9,-75.4,3,NA,0,1,0,10,1,1975-01-01T05:00:00Z,2003-03-23T05:00:00Z,4843.33,NA,NA,0,1,0,VA,200000,0,2009,23336,1,613f48b9f2b55a0837ed6e1e
0,2021-07-25T01:39:04Z,6,NA,Temporarily Unavailable,N,1,51001,6,1999-09-16T04:00:00Z,1,NA,3,51001090600,AE,0,37.7,-75.8,0,4.3,8.7,2,0,10,1,2020-01-01T05:00:00Z,1999-02-04T05:00:00Z,9683.54,NA,NA,0,1,0,VA,39400,0,1999,23417,1,613f48b9f2b55a0837ed7718
0,2021-07-25T01:39:04Z,8,NA,Temporarily Unavailable,N,1,51001,6,1999-09-16T04:00:00Z,0,3,3,51001090600,AE,0,37.8,-75.8,0,3.2,10.5,2,0,10,1,2040-08-01T04:00:00Z,1994-07-11T04:00:00Z,12897.53,5911.15,14750,0,1,0,VA,32200,19200,1999,23417,1,613f48b9f2b55a0837ed77d0
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,6,1989-08-19T04:00:00Z,1,NA,NA,NA,A06,0,37.9,-75.6,4,NA,0,2,0,10,1,1950-07-01T04:00:00Z,1989-04-26T04:00:00Z,7428,NA,NA,0,1,0,VA,11000,0,1989,23359,0,613f48baf2b55a0837ed8b9a
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,6,1999-09-16T04:00:00Z,0,NA,NA,51001090600,AE,0,37.8,-75.8,0,NA,0,2,0,10,1,1955-07-01T04:00:00Z,1989-06-16T04:00:00Z,16282.69,13543.57,15000,0,1,0,VA,50000,20000,1999,23417,0,613f48bbf2b55a0837ed9aaf
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,8,1992-02-04T05:00:00Z,0,NA,NA,51001090100,A09,0,37.9,-75.4,6,NA,0,5,0,10,1,1964-07-01T04:00:00Z,1989-10-01T04:00:00Z,NA,NA,NA,0,1,0,VA,34100,13700,1992,23336,0,613f48bbf2b55a0837ed9b83
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,8,1992-01-04T05:00:00Z,0,NA,NA,NA,A09,0,37.9,-75.4,6,NA,0,5,0,10,1,1975-07-01T04:00:00Z,1990-10-18T04:00:00Z,NA,1726.1,NA,0,1,0,VA,30000,10000,1992,23336,0,613f48bcf2b55a0837ed9f56
